id_material,nombre,compuesto_quimico,aplicacion,fecha_creacion,id_experimento,id_propiedad,temperatura_prueba,presion_aplicada,duracion_experimento,resistencia,elasticidad,conductividad_termica,densidad,diametro_nanoparticulas,espesor_capa,capacidad_absorcion_luz,prediction,features_json
1,Nanopartículas de óxido de samario,Nanopartículas de dióxido de titanio (TiO₂),Revestimientos cerámicos,2024-04-26,1,1,11.518931599429449,5.641146757237324,3.752820797450482,5.121737075643065,2.4145480829903834,1.8074487225380391,2.598593880128943,2.5799905949886974,2.011817808509382,7.679647279022113,2,"[5.121737075643065,2.4145480829903834,1.8074487225380391]"
2,Nanopartículas de óxido de disprosio,Nanopartículas de plata (Ag),Imanes,2024-02-02,2,2,9.486178964236016,4.773278025354659,3.5182694976098268,4.568035770168138,3.4709128692986764,1.7700532317269073,1.9904123337157862,2.364991378739639,1.9399671724911896,5.63174133794955,2,"[4.568035770168138,3.4709128692986764,1.7700532317269073]"
3,Nanopartículas de óxido de prometio,MXenes (null),Materiales de construcción,2024-07-05,3,3,10.502555281832732,6.075081123178657,3.2837181977691716,5.67543838111799,4.829096165980767,2.000658758395554,1.3822307873026294,1.3616617029107014,1.9399671724911896,6.911682551119902,2,"[5.67543838111799,4.829096165980767,2.000658758395554]"
4,Fullerenos,Nanopartículas de óxido de tungsteno (WO₃),Imanes,2024-06-22,4,4,10.841347387698304,6.942949855061322,2.8146155980878613,3.8759091383244813,6.036370207475959,0.891259197665309,3.4832215840026257,1.3616617029107014,0.8622076322183065,5.3757530953154795,0,"[3.8759091383244813,6.036370207475959,0.891259197665309]"
5,Nanomateriales cristalinos,Nanopartículas de óxido de disprosio (Dy₂O₃),Pantallas de alta resolución,2023-11-22,5,5,10.841347387698304,5.207212391295991,4.691025996813102,4.429610443799407,3.3200036141117772,1.377400578210023,1.3269415558105242,2.436657784155992,1.2933114483274597,8.020964935867541,2,"[4.429610443799407,3.3200036141117772,1.377400578210023]"
6,Nanopartículas de sílice,Nanopartículas de óxido de estaño (SnO₂),Conductores eléctricos,2024-09-17,6,6,11.85772370529502,7.376884221002654,2.110961698565896,2.906931853743361,5.432733186728362,1.763820649925052,3.151486195049995,2.0066593516578757,1.5807139924002285,6.2290472374290475,0,"[2.906931853743361,5.432733186728362,1.763820649925052]"
7,Nanopartículas de óxido de prometio,Nanodiamantes ©,Imanes,2024-08-06,7,7,10.16376317596716,6.942949855061322,2.8146155980878613,2.4916558746371664,5.432733186728362,3.7395490811131844,2.488015417144733,3.153321838319519,2.371070988600343,6.997011965331259,1,"[2.4916558746371664,5.432733186728362,3.7395490811131844]"
8,Nanopartículas de óxido de neodimio,Hidróxidos dobles laminares (null),Protección solar,2024-09-17,8,8,11.518931599429449,6.075081123178657,4.925577296653757,4.1527597910619445,4.5272776556069685,1.3898657418137337,2.875040037589469,1.0749960812452906,2.2992203525821506,7.850306107444827,0,"[4.1527597910619445,4.5272776556069685,1.3898657418137337]"
9,Nanopartículas de óxido de tulio,Nanopartículas de platino (Pt),Imanes,2023-12-16,9,9,9.824971070101588,6.075081123178657,3.5182694976098268,4.1527597910619445,4.829096165980767,2.6862427565996376,2.6538831116210484,1.0749960812452906,1.5807139924002285,6.485035480063118,1,"[4.1527597910619445,4.829096165980767,2.6862427565996376]"
10,Nanopartículas de óxido de disprosio,Nanopartículas de óxido de samario (Sm₂O₃),Diagnóstico médico,2023-10-20,10,10,11.85772370529502,6.942949855061322,4.456474696972447,4.70646109653687,2.716366593364181,0.9535850156838621,2.488015417144733,3.2249882437358717,3.5925318009096103,7.082341379542616,2,"[4.70646109653687,2.716366593364181,0.9535850156838621]"
11,Nanopartículas de óxido de aluminio,Puntos cuánticos de carbono ©,Imanes,2024-07-25,11,11,10.502555281832732,7.810818586943987,4.221923397131792,3.5990584855870185,5.281823931541464,1.5643780322656822,2.5433046486368376,3.2249882437358717,2.874025440727688,7.679647279022113,0,"[3.5990584855870185,5.281823931541464,1.5643780322656822]"
12,Nanopartículas de óxido de gadolinio,Nanosheets de nitruro de boro (BN),Imanes,2024-06-19,12,12,11.85772370529502,5.207212391295991,3.5182694976098268,2.7685065273746297,4.829096165980767,1.377400578210023,2.211569259684207,3.153321838319519,1.9399671724911896,5.290423681104122,0,"[2.7685065273746297,4.829096165980767,1.377400578210023]"
13,Nanopartículas de óxido de hafnio,Nanopartículas de óxido de iterbio (Yb₂O₃),Protección solar,2024-10-11,13,13,8.808594752504872,7.810818586943987,4.925577296653757,4.291185117430675,5.432733186728362,1.072004069919113,0.6634707779052621,3.7266530816503405,1.5807139924002285,6.058388409006334,0,"[4.291185117430675,5.432733186728362,1.072004069919113]"
14,Nanopartículas de óxido de terbio,Nanopartículas de dióxido de titanio (TiO₂),Dispositivos electrónicos,2024-02-21,14,14,9.486178964236016,6.075081123178657,5.3946798963350675,3.0453571801120924,3.772731379672474,3.6148974450760782,3.151486195049995,3.7266530816503405,2.730324168691304,6.2290472374290475,1,"[3.0453571801120924,3.772731379672474,3.6148974450760782]"
15,Nanosheets de MOF 2D,Materiales nanoporosos (null),Imanes,2023-10-29,15,15,10.841347387698304,6.509015489119989,3.752820797450482,3.3222078328495552,4.678186910793868,2.287357521280898,2.8197508060973635,2.8666562166541083,2.6584735326731117,5.802400166372263,0,"[3.3222078328495552,4.678186910793868,2.287357521280898]"
16,Nanopartículas de óxido de praseodimio,Nanopartículas de óxido de zinc (ZnO),Imanes,2024-02-27,16,16,9.486178964236016,6.075081123178657,3.5182694976098268,3.4606331592182866,3.3200036141117772,1.9570306857825663,2.488015417144733,3.869985892483046,3.448830528873226,7.679647279022113,0,"[3.4606331592182866,3.3200036141117772,1.9570306857825663]"
17,Nanomateriales cristalinos,Nanopartículas de óxido de tulio (Tm₂O₃),Fósforos,2024-04-04,17,17,12.196515811160593,7.810818586943987,2.8146155980878613,6.921266318436573,5.583642441915262,1.8510767951510263,3.0961969635578894,2.7949898112377554,0.9340582682364987,5.63174133794955,2,"[6.921266318436573,5.583642441915262,1.8510767951510263]"
18,Nanopartículas de sílice,Nanopartículas de óxido de neodimio (Nd₂O₃),Entrega de medicamentos,2024-07-09,18,18,11.518931599429449,6.075081123178657,3.987372097291137,5.67543838111799,7.545462759344948,0.8850266158634537,1.8245446392394706,2.221658567906934,3.161427984800457,6.485035480063118,2,"[5.67543838111799,7.545462759344948,0.8850266158634537]"
19,Nanopartículas de sílice,Nanopartículas de óxido de gadolinio (Gd₂O₃),Conductores eléctricos,2024-06-05,19,19,9.824971070101588,5.641146757237324,3.5182694976098268,4.291185117430675,3.923640634859373,3.1162909009276536,2.211569259684207,1.6483273245761123,1.724415264436613,4.266470710567841,1,"[4.291185117430675,3.923640634859373,3.1162909009276536]"
20,Nanopartículas de hierro,Fullerenos (C₆₀),Imanes,2024-03-31,20,20,10.841347387698304,6.942949855061322,3.752820797450482,2.7685065273746297,3.923640634859373,1.8510767951510263,1.7139661762552605,2.8666562166541083,1.724415264436613,6.997011965331259,0,"[2.7685065273746297,3.923640634859373,1.8510767951510263]"
21,Nanopartículas de óxido de erbio,Nanomateriales cristalinos (null),Imanes,2024-01-22,21,21,8.131010540773728,5.207212391295991,2.580064298247206,3.73748381195575,5.734551697102161,1.1093995607302447,2.4327261856526277,2.364991378739639,3.5925318009096103,7.5943178648107565,0,"[3.73748381195575,5.734551697102161,1.1093995607302447]"
22,Nanopartículas de óxido de holmio,Nanopartículas de celulosa (C₆H₁₀O₅),Antioxidantes y agentes antivirales,2024-05-21,22,22,8.4698026466393,5.207212391295991,5.160128596494412,5.260162402011796,4.829096165980767,6.232581801855307,1.8798338707315758,1.2899952974943487,1.2933114483274597,5.802400166372263,1,"[5.260162402011796,4.829096165980767,6.232581801855307]"
23,Grafeno,Nanodiamantes ©,Imanes,2024-07-04,23,23,9.147386858370444,6.942949855061322,3.752820797450482,3.183782506480824,6.338188717849756,1.190423124154364,3.925535435939467,1.0749960812452906,1.9399671724911896,5.119764852681409,0,"[3.183782506480824,6.338188717849756,1.190423124154364]"
24,Nanopartículas de óxido de lutecio,Nanopartículas de óxido de disprosio (Dy₂O₃),Catalizadores,2024-01-01,24,24,10.841347387698304,6.942949855061322,5.160128596494412,3.73748381195575,4.5272776556069685,0.9660501792875726,0.6634707779052621,0.7166640541635271,1.077759540272883,6.997011965331259,0,"[3.73748381195575,4.5272776556069685,0.9660501792875726]"
25,Nanoespumas,Nanomateriales cristalinos (null),Catalizadores,2024-06-19,25,25,10.841347387698304,6.075081123178657,3.752820797450482,3.73748381195575,4.37636840042007,2.162705885243792,2.211569259684207,1.5049945137434069,1.5807139924002285,6.2290472374290475,0,"[3.73748381195575,4.37636840042007,2.162705885243792]"
26,Nanopartículas de óxido de gadolinio,Nanopartículas de óxido de magnesio (MgO),Fósforos,2023-12-05,26,26,11.85772370529502,5.641146757237324,2.8146155980878613,5.67543838111799,5.583642441915262,1.3960983236155888,3.3726431210184153,1.934992946241523,2.155519080545766,5.034435438470052,2,"[5.67543838111799,5.583642441915262,1.3960983236155888]"
27,Nanopartículas de óxido de cerio,Nanoespumas (null),Imanes,2024-03-30,27,27,11.518931599429449,8.24475295288532,5.160128596494412,3.4606331592182866,3.772731379672474,3.004104428494258,2.211569259684207,3.583320270817635,0.5748050881455377,6.997011965331259,1,"[3.4606331592182866,3.772731379672474,3.004104428494258]"
28,Nanocompuestos,Nanomateriales cristalinos (null),Fósforos,2024-06-07,28,28,9.486178964236016,7.376884221002654,2.110961698565896,4.291185117430675,5.885460952289059,2.087914903621528,4.58900621384473,1.7916601354088175,1.437012720363844,6.911682551119902,0,"[4.291185117430675,5.885460952289059,2.087914903621528]"
29,Nanopartículas de celulosa,Nanopartículas de óxido de disprosio (Dy₂O₃),Transistores de alta velocidad,2023-11-29,29,29,9.486178964236016,6.509015489119989,4.691025996813102,4.014334464693213,4.980005421167665,2.648847265788506,3.31735388952631,0.8599968649962324,2.730324168691304,7.76497669323347,1,"[4.014334464693213,4.980005421167665,2.648847265788506]"
30,Fullerenos,Nanosheets de nitruro de boro (BN),Imanes,2024-02-16,30,30,10.841347387698304,7.810818586943987,4.691025996813102,3.183782506480824,4.225459145233171,3.004104428494258,1.2163630928263138,1.8633265408251702,1.005908904254691,6.058388409006334,1,"[3.183782506480824,4.225459145233171,3.004104428494258]"
31,Puntos cuánticos de carbono,Nanopartículas de óxido de praseodimio (Pr₆O₁₁),Imanes,2024-07-06,31,31,9.486178964236016,8.24475295288532,2.345512998406551,2.906931853743361,5.281823931541464,1.3898657418137337,3.2620646580342054,3.2966546491522246,1.7962659004548052,7.082341379542616,0,"[2.906931853743361,5.281823931541464,1.3898657418137337]"
32,Nanopartículas de óxido de itrio,Nanopartículas de óxido de erbio (Er₂O₃),Baterías,2024-06-04,32,32,9.486178964236016,5.641146757237324,3.2837181977691716,3.73748381195575,4.5272776556069685,2.810894392636744,1.5480984817789447,1.3616617029107014,2.874025440727688,4.607788367413268,1,"[3.73748381195575,4.5272776556069685,2.810894392636744]"
33,Nanopartículas de óxido de gadolinio,Nanopartículas de óxido de tungsteno (WO₃),Imanes,2024-02-25,33,33,11.180139493563876,6.075081123178657,3.2837181977691716,5.3985877283805275,4.225459145233171,2.2187991214604894,4.146692361907888,3.2249882437358717,0.8622076322183065,7.082341379542616,2,"[5.3985877283805275,4.225459145233171,2.2187991214604894]"
34,Nanopartículas de óxido de disprosio,Nanopartículas de óxido de prometio (Pm₂O₃),Imanes,2024-02-14,34,34,10.16376317596716,7.376884221002654,4.691025996813102,5.260162402011796,4.980005421167665,1.3649354146063122,3.870246204447362,2.364991378739639,2.155519080545766,7.5943178648107565,2,"[5.260162402011796,4.980005421167665,1.3649354146063122]"
35,Nanopartículas de óxido de holmio,Nanopartículas de óxido de tulio (Tm₂O₃),Láseres,2024-07-03,35,35,9.824971070101588,6.075081123178657,4.221923397131792,3.0453571801120924,4.225459145233171,0.9535850156838621,3.925535435939467,1.3616617029107014,2.730324168691304,6.655694308485831,0,"[3.0453571801120924,4.225459145233171,0.9535850156838621]"
36,Nanopartículas de óxido de lantano,Nanopartículas de óxido de circonio (ZrO₂),Diagnóstico médico,2024-04-10,36,36,10.16376317596716,8.24475295288532,4.456474696972447,4.983311749274333,4.074549890046272,1.215353451361785,3.31735388952631,2.0783257570742286,2.514772260636727,5.63174133794955,2,"[4.983311749274333,4.074549890046272,1.215353451361785]"
37,Fullerenos,Nanopartículas de óxido de hierro (Fe₂O₃),Catalizadores,2024-10-02,37,37,12.196515811160593,8.24475295288532,3.2837181977691716,5.537013054749259,5.130914676354565,1.072004069919113,3.870246204447362,2.0066593516578757,2.5866228966549194,7.5089884505994,2,"[5.537013054749259,5.130914676354565,1.072004069919113]"
38,Nanopartículas de óxido de praseodimio,Nanopartículas de oro (Au),Sensores,2024-04-29,38,38,11.85772370529502,6.942949855061322,4.221923397131792,3.73748381195575,4.225459145233171,1.5269825414545504,1.2163630928263138,1.5766609191597596,2.514772260636727,5.63174133794955,0,"[3.73748381195575,4.225459145233171,1.5269825414545504]"
39,Nanopartículas de cobre,Grafeno ©,Fósforos,2024-02-07,39,39,10.16376317596716,6.075081123178657,3.2837181977691716,4.291185117430675,3.923640634859373,1.4771218870397078,1.2163630928263138,3.7266530816503405,3.448830528873226,6.911682551119902,2,"[4.291185117430675,3.923640634859373,1.4771218870397078]"
40,Nanopartículas de óxido de lutecio,Nanopartículas de óxido de tulio (Tm₂O₃),Baterías recargables,2024-04-13,40,40,9.824971070101588,5.207212391295991,4.925577296653757,5.260162402011796,3.0181851037379794,1.9570306857825663,3.31735388952631,2.5799905949886974,2.011817808509382,4.949106024258695,2,"[5.260162402011796,3.0181851037379794,1.9570306857825663]"
41,Nanopartículas de óxido de samario,Nanopartículas de óxido de lutecio (Lu₂O₃),Imanes,2023-10-25,41,41,11.180139493563876,7.376884221002654,5.629231196175723,3.8759091383244813,3.3200036141117772,1.377400578210023,1.658676944763155,2.436657784155992,1.6525646284184208,5.63174133794955,0,"[3.8759091383244813,3.3200036141117772,1.377400578210023]"
42,Nanopartículas de óxido de hafnio,MXenes (null),Revestimientos protectores,2024-04-24,42,42,9.486178964236016,6.075081123178657,3.0491668979285165,4.983311749274333,4.225459145233171,1.8822397041603027,2.8197508060973635,1.8633265408251702,1.005908904254691,7.2530002079653295,2,"[4.983311749274333,4.225459145233171,1.8822397041603027]"
43,Nanopartículas de óxido de erbio,Nanopartículas de cobre (Cu),Optoelectrónica,2024-08-22,43,43,10.16376317596716,7.810818586943987,2.580064298247206,5.67543838111799,3.923640634859373,4.069875916611515,1.60338771327105,2.436657784155992,1.437012720363844,7.338329622176686,1,"[5.67543838111799,3.923640634859373,4.069875916611515]"
44,Nanopartículas de cerámica,Nanopartículas de oro (Au),Láseres,2024-01-16,44,44,11.518931599429449,7.810818586943987,3.752820797450482,3.5990584855870185,5.432733186728362,1.1280973061358108,1.8798338707315758,3.0099890274868137,1.5807139924002285,6.14371782321769,0,"[3.5990584855870185,5.432733186728362,1.1280973061358108]"
45,Nanopartículas de óxido de erbio,Nanopartículas de óxido de samario (Sm₂O₃),Fósforos,2024-10-06,45,45,11.180139493563876,6.509015489119989,5.629231196175723,5.537013054749259,4.678186910793868,3.247175118766615,2.598593880128943,2.65165700040505,1.5807139924002285,6.997011965331259,1,"[5.537013054749259,4.678186910793868,3.247175118766615]"
46,Nanopartículas de óxido de europio,Nanopartículas de óxido de erbio (Er₂O₃),Revestimientos ignífugos,2023-11-14,46,46,11.518931599429449,6.509015489119989,2.580064298247206,4.014334464693213,5.281823931541464,1.2465163603710614,1.9904123337157862,2.221658567906934,1.2214608123092676,7.167670793753972,0,"[4.014334464693213,5.281823931541464,1.2465163603710614]"
47,Nanopartículas de óxido de gadolinio,Nanopartículas de óxido de circonio (ZrO₂),Lubricantes y pulido,2024-01-05,47,47,9.486178964236016,6.075081123178657,4.456474696972447,3.73748381195575,3.3200036141117772,1.2901444329840486,2.598593880128943,0.7166640541635271,0.8622076322183065,6.997011965331259,0,"[3.73748381195575,3.3200036141117772,1.2901444329840486]"
48,Nanopartículas de cobre,Nanopartículas de óxido de samario (Sm₂O₃),Fósforos,2024-03-08,48,48,9.824971070101588,7.376884221002654,5.160128596494412,3.0453571801120924,3.923640634859373,3.1162909009276536,1.4928092502868398,1.934992946241523,0.7903569962001142,6.826353136908545,1,"[3.0453571801120924,3.923640634859373,3.1162909009276536]"
49,Nanopartículas de óxido de europio,Nanopartículas de óxido de lutecio (Lu₂O₃),Antioxidantes y agentes antivirales,2024-08-22,49,49,10.841347387698304,6.509015489119989,5.3946798963350675,3.0453571801120924,4.829096165980767,1.8822397041603027,3.151486195049995,2.8666562166541083,2.371070988600343,6.911682551119902,0,"[3.0453571801120924,4.829096165980767,1.8822397041603027]"
50,Nanopartículas de óxido de níquel,Nanohornos de carbono ©,Fibras ópticas,2024-07-12,50,50,11.518931599429449,7.376884221002654,3.5182694976098268,4.568035770168138,4.225459145233171,1.583075777671248,3.9808246674315724,3.2249882437358717,2.011817808509382,7.423659036388043,2,"[4.568035770168138,4.225459145233171,1.583075777671248]"
51,Puntos cuánticos de carbono,Nanopartículas de óxido de gadolinio (Gd₂O₃),Imanes,2024-08-11,51,51,9.486178964236016,7.376884221002654,4.221923397131792,3.73748381195575,4.5272776556069685,1.8510767951510263,1.3822307873026294,3.0099890274868137,1.6525646284184208,7.5943178648107565,0,"[3.73748381195575,4.5272776556069685,1.8510767951510263]"
52,Nanocompuestos,Nanopartículas de óxido de erbio (Er₂O₃),Refuerzo en materiales compuestos,2024-09-30,52,52,10.16376317596716,5.641146757237324,3.987372097291137,5.260162402011796,3.621822124485575,1.277679269380338,1.8798338707315758,2.7949898112377554,3.017726712764073,6.997011965331259,2,"[5.260162402011796,3.621822124485575,1.277679269380338]"
53,Nanopartículas de óxido de europio,Nanopartículas de óxido de holmio (Ho₂O₃),Fósforos,2024-04-05,53,53,9.824971070101588,5.641146757237324,5.629231196175723,6.229139686592917,4.074549890046272,2.2312642850641997,2.875040037589469,1.8633265408251702,1.5088633563820364,5.2050942668927656,2,"[6.229139686592917,4.074549890046272,2.2312642850641997]"
54,Nanopartículas de óxido de samario,MXenes (null),Fósforos,2024-09-28,54,54,10.502555281832732,6.509015489119989,2.580064298247206,3.183782506480824,4.225459145233171,1.583075777671248,1.4375200187947346,0.7166640541635271,1.9399671724911896,4.181141296356484,0,"[3.183782506480824,4.225459145233171,1.583075777671248]"
55,Nanopartículas de óxido de aluminio,Nanopartículas de óxido de samario (Sm₂O₃),Superconductores,2024-02-12,55,55,10.16376317596716,5.207212391295991,5.3946798963350675,3.0453571801120924,5.130914676354565,1.277679269380338,1.4928092502868398,3.941652297899399,3.017726712764073,5.290423681104122,0,"[3.0453571801120924,5.130914676354565,1.277679269380338]"
56,Nanopartículas de óxido de lutecio,Nanopartículas de óxido de tulio (Tm₂O₃).,Sensores de gas,2024-01-12,56,56,11.85772370529502,7.810818586943987,2.110961698565896,3.73748381195575,4.37636840042007,3.7395490811131844,3.31735388952631,3.4399874599849296,3.161427984800457,6.314376651640404,1,"[3.73748381195575,4.37636840042007,3.7395490811131844]"
57,Nanotubos de carbono,Nanopartículas de óxido de zinc (ZnO),Imanes,2024-06-15,57,57,9.486178964236016,6.509015489119989,3.0491668979285165,3.4606331592182866,3.3200036141117772,1.215353451361785,2.1009907966999966,1.5766609191597596,1.005908904254691,5.8877295805836205,0,"[3.4606331592182866,3.3200036141117772,1.215353451361785]"
58,Nanopartículas metálicas,Nanopartículas de óxido de tungsteno (WO₃),Antioxidantes y agentes antivirales,2024-03-08,58,58,10.841347387698304,6.075081123178657,4.221923397131792,3.0453571801120924,3.621822124485575,1.2278186149654955,1.3269415558105242,1.2899952974943487,2.155519080545766,7.5943178648107565,0,"[3.0453571801120924,3.621822124485575,1.2278186149654955]"
59,Nanopartículas de óxido de aluminio,MXenes (null),Catálisis,2024-05-06,59,59,9.824971070101588,7.376884221002654,4.221923397131792,4.014334464693213,5.432733186728362,2.810894392636744,2.5433046486368376,1.4333281083270542,2.514772260636727,5.2050942668927656,1,"[4.014334464693213,5.432733186728362,2.810894392636744]"
60,Nanopartículas de óxido de terbio,Nanopartículas de óxido de prometio (Pm₂O₃),Antibacterianos,2024-10-10,60,60,10.16376317596716,6.942949855061322,5.3946798963350675,5.67543838111799,4.5272776556069685,1.7700532317269073,1.7692554077473657,1.5766609191597596,1.077759540272883,5.802400166372263,2,"[5.67543838111799,4.5272776556069685,1.7700532317269073]"
61,Nanopartículas de óxido de neodimio,Nanopartículas de óxido de holmio (Ho₂O₃),Aislamiento térmico,2023-10-17,61,61,8.4698026466393,7.810818586943987,5.3946798963350675,5.67543838111799,5.281823931541464,0.729212070817071,1.658676944763155,1.5049945137434069,1.077759540272883,8.106294350078898,2,"[5.67543838111799,5.281823931541464,0.729212070817071]"
62,Nanopartículas de oro,Nanopartículas de óxido de holmio (Ho₂O₃),Imanes,2023-12-25,62,62,10.841347387698304,6.942949855061322,4.221923397131792,4.429610443799407,5.281823931541464,0.9473524338820066,1.3822307873026294,2.149992162490581,1.7962659004548052,5.8877295805836205,0,"[4.429610443799407,5.281823931541464,0.9473524338820066]"
63,Nanopartículas de óxido de samario,Nanopartículas de cerámica (null),Refuerzo en materiales compuestos,2024-06-10,63,63,8.808594752504872,6.942949855061322,4.456474696972447,4.1527597910619445,4.37636840042007,2.810894392636744,0.7740492408894724,1.3616617029107014,1.005908904254691,6.826353136908545,1,"[4.1527597910619445,4.37636840042007,2.810894392636744]"
64,Nanopartículas de óxido de níquel,Puntos cuánticos de carbono ©,Tratamiento de aguas,2024-10-08,64,64,8.808594752504872,6.075081123178657,3.987372097291137,5.121737075643065,4.5272776556069685,1.963263267584422,2.211569259684207,2.65165700040505,0.8622076322183065,6.399706065851761,2,"[5.121737075643065,4.5272776556069685,1.963263267584422]"
65,Nanopartículas de óxido de disprosio,Nanopartículas de óxido de iterbio (Yb₂O₃),Imanes,2024-08-14,65,65,11.85772370529502,5.207212391295991,5.629231196175723,4.291185117430675,4.074549890046272,3.465315481831551,3.9808246674315724,3.941652297899399,0.5748050881455377,4.5224589532019115,1,"[4.291185117430675,4.074549890046272,3.465315481831551]"
66,Nanocompuestos,Nanopartículas de hierro (Fe),Antibacterianos,2023-11-17,66,66,9.824971070101588,6.942949855061322,3.5182694976098268,3.73748381195575,3.923640634859373,3.6148974450760782,5.252476991749991,1.4333281083270542,3.017726712764073,6.826353136908545,1,"[3.73748381195575,3.923640634859373,3.6148974450760782]"
67,Nanopartículas de óxido de disprosio,Nanopartículas de celulosa (C₆H₁₀O₅),Sensores,2024-03-26,67,67,11.85772370529502,6.075081123178657,4.691025996813102,3.3222078328495552,3.772731379672474,1.1654927969469424,2.1009907966999966,1.5766609191597596,1.2214608123092676,6.14371782321769,0,"[3.3222078328495552,3.772731379672474,1.1654927969469424]"
68,Nanopartículas de óxido de magnesio,Nanomateriales cristalinos (null),Imanes,2024-07-16,68,68,9.486178964236016,6.509015489119989,4.925577296653757,5.121737075643065,3.772731379672474,2.087914903621528,1.8798338707315758,0.7166640541635271,0.718506360181922,5.461082509526836,2,"[5.121737075643065,3.772731379672474,2.087914903621528]"
69,Nanopartículas de óxido de holmio,Nanopartículas de platino (Pt),Láseres,2024-08-11,69,69,11.518931599429449,6.075081123178657,4.456474696972447,4.014334464693213,3.621822124485575,3.247175118766615,1.5480984817789447,1.6483273245761123,1.5807139924002285,4.778447195835982,1,"[4.014334464693213,3.621822124485575,3.247175118766615]"
